name;sinta_id;dept;sinta_score;sinta_3yr_score;affil_score;affil_3yr_score;scopus_h_index;gs_h_index;wos_h_index;scopus_i10_index;gs_i10_index;wos_i10_index;scopus_g_index;gs_g_index;wos_g_index;scopus_article;scopus_citation;scopus_cited_document;gs_article;gs_citation;gs_cited_document;wos_article;wos_citation;wos_cited_document
HAMIDIE RONALD DANIEL RAY;5978997;S1 - Ilmu Keolahragaan;1069;439;0;0;5;7;3;1;4;1;1;2;4;22;117;9;92;251;30;14;95;7
PRANA DWIJA ISWARA;5977036;S2 - Pendidikan Dasar;1016;505;0;0;3;11;2;0;17;0;1;1;1;16;38;10;149;550;79;5;6;2
VANESSA GAFFAR;5993246;S3 - Manajemen;1050;453;0;0;6;13;3;1;22;0;3;1;4;20;74;14;108;853;67;15;24;9
HARRY FIRMAN;6132557;Unknown;1223;444;0;0;5;15;;3;27;;2;1;;47;115;30;161;1215;115;0;0;0
JOHAR MAKNUN;5994899;S1 - Pendidikan Teknik Arsitektur;941;348;0;0;3;10;1;0;10;0;1;1;1;26;33;13;86;309;46;22;11;10
RAHMAN;5991818;S3 - Pendidikan Dasar;792;462;0;0;0;5;0;0;3;0;0;1;0;0;0;0;238;152;42;0;0;0
SYARIP HIDAYAT;5996277;S2 - Pendidikan Guru Sekolah Dasar Kampus Tasikmalaya;787;446;0;0;2;11;0;0;15;0;1;1;0;19;10;7;357;637;144;0;0;0
TITE JULIANTINE;5995777;S1 - Pendidikan Jasmani, Kesehatan Dan Rekreasi;665;349;0;0;1;10;0;0;14;0;1;1;1;3;2;1;101;391;52;0;0;0
BETA PARAMITA;258001;S2 - Arsitektur;1240;461;0;0;6;8;5;2;7;1;1;1;1;38;88;21;95;197;34;21;50;9
ASEP SOPIAN;258048;S1 - Pendidikan Bahasa Arab;478;355;0;0;0;4;0;0;0;0;0;1;0;0;0;0;101;62;22;0;0;0
HARRY FIRMAN;6132494;Unknown;1214;444;0;0;5;15;;3;27;;2;1;;47;115;30;161;1218;115;0;0;0
BUNYAMIN MAFTUH;6146282;S3 - Pendidikan Ilmu Pengetahuan Sosial;652;350;0;0;3;13;;1;15;;1;1;;14;31;9;103;792;50;0;0;0
EDI HENDRI MULYANA;5978623;S1 - PGPAUD Kampus Tasikmalaya;688;359;0;0;4;8;1;0;6;0;2;1;0;20;32;12;86;351;49;1;1;1
MUSTIKA FITRI;5994049;S1 - Ilmu Keolahragaan;686;360;0;0;2;5;1;0;0;0;1;2;2;7;7;3;55;58;19;3;2;2
TOMMI HARIYADI;5992365;S1 - Teknik Elektro;1155;361;0;0;6;7;3;2;3;1;1;1;1;37;104;25;51;163;33;29;37;11
VINA ADRIANY;5979511;S2 - Pendidikan Anak Usia Dini;994;364;0;0;5;12;6;2;12;3;2;2;1;13;76;11;27;349;21;16;76;9
NANA SUPRIATNA;5993532;S3 - Pendidikan Sejarah;723;362;0;0;2;14;0;0;19;0;1;3;0;12;17;8;187;978;98;0;0;0
MAMAT RUHIMAT;5979213;S3 - Pendidikan Ilmu Pengetahuan Sosial;990;429;0;0;4;9;3;3;5;0;1;1;1;24;22;8;102;291;50;17;12;5
HERNANI;6662199;S2 - Pendidikan Kimia;828;430;0;0;5;5;0;2;5;0;1;6;0;35;101;15;29;147;18;0;0;0
R ASEP KADAROHMAN;5984423;S3 - Pendidikan Ilmu Pengetahuan Alam;1012;431;0;0;8;15;;7;22;;1;1;;33;302;21;90;1209;58;0;0;0
FUAD ABDUL HAMIED;5978397;S3 - Pendidikan Bahasa Inggris;962;435;0;0;5;15;3;2;21;1;1;2;3;18;57;11;74;987;49;8;22;6
ARIF ISMAIL;5974521;D3 - Survey Pemetaan dan Informasi Geografis;562;437;0;0;3;7;1;0;4;0;1;2;1;8;7;3;28;111;18;5;3;3
LILIK HASANAH;5994035;S1 - Fisika;2288;929;0;0;8;12;3;6;15;2;1;1;5;84;212;51;143;436;75;9;42;7
ISMA WIDIATY;5978971;S1 - Pendidikan Kesejahteraan Keluarga;2093;924;0;0;6;13;3;4;15;2;1;1;1;74;172;44;141;539;81;24;49;14
SUNARDI;6656915;S3 - Pendidikan Khusus;992;437;0;0;5;5;;3;4;;1;5;;9;72;6;18;77;8;0;0;0
NURYANI RUSTAMAN;5991811;S3 - Pendidikan Ilmu Pengetahuan Alam;2199;934;0;0;6;27;;2;61;;1;1;;79;134;44;313;3788;200;0;0;0
RINA MARYANTI;6768594;S1 - Pendidikan Khusus;1235;932;0;0;7;12;6;6;17;4;1;2;1;28;173;19;91;463;50;16;95;13
RATIH HURRIYATI;5984336;S3 - Manajemen;2319;974;0;0;8;16;4;4;31;2;1;1;3;50;146;26;315;4902;122;33;54;14
RIANDI;5995561;S3 - Pendidikan Ilmu Pengetahuan Alam;1732;976;0;0;6;12;1;4;17;0;1;1;1;45;131;25;138;730;99;27;4;3
MUMU KOMARO;5993878;S1 - Pendidikan Teknik Mesin;1129;538;0;0;3;8;2;0;5;0;1;1;1;27;33;12;104;199;49;23;9;5
ELAH NURLAELAH;6665327;S2 - Pendidikan Matematika;833;533;0;0;4;11;3;0;12;0;2;1;1;25;42;16;89;377;60;18;17;9
LILI ADI WIBOWO;5984836;S2 - Manajemen;1028;541;0;0;4;12;0;0;14;0;1;3;0;40;43;12;223;689;101;0;0;0
ERI KURNIAWAN;5994389;S2 - Linguistik;1024;543;0;0;3;11;2;0;11;0;1;1;1;25;34;13;125;360;57;3;4;2
AHMAD YANI;5975048;S3 - Pendidikan Geografi;1050;544;0;0;4;7;2;1;7;0;1;1;2;36;49;18;39;616;20;0;0;0
SUMARDI;6006460;S1 - PGPAUD Kampus Tasikmalaya;1165;434;0;0;0;19;;0;44;;0;2;;0;0;0;994;1682;372;0;0;0
LUTFI NUR;5977298;S1 - Desain Produk Industri Kampus Tasikmalaya;759;550;0;0;4;10;0;0;10;0;1;1;1;16;37;8;114;342;56;2;0;0
Prof. DR. ENDANG ROCHYADI, M.PD;6139442;S3 - Pendidikan Khusus;800;551;0;0;2;8;2;1;6;1;1;1;1;14;42;8;92;271;36;0;0;0
DIDI SUHERDI;5978101;S3 - Pendidikan Bahasa Inggris;956;552;0;0;4;13;1;2;18;0;1;1;1;17;41;11;114;658;56;10;3;2
ADI RAHMAT;5986402;S1 - Pendidikan Biologi;1049;558;0;0;3;9;1;0;8;0;1;1;1;34;28;13;113;334;63;30;7;6
AGUS SETIAWAN;259466;S1 - Pendidikan Teknik Mesin;3077;1386;0;0;12;20;6;17;46;2;1;2;1;112;636;75;169;1417;107;58;110;30
TATANG HERMAN;5986217;S3 - Pendidikan Dasar;2562;1517;0;0;8;22;3;7;49;0;1;1;1;88;245;56;222;2132;145;58;46;24
SUFYANI PRABAWANTO;5995121;S2 - Pendidikan Matematika;2408;1689;0;0;6;14;4;3;24;0;1;1;1;85;165;47;168;941;113;33;35;13
DADANG JUANDI;6042761;S3 - Pendidikan Matematika;2218;1669;0;0;6;14;3;1;25;0;1;2;1;70;100;31;176;732;89;39;20;9
ANDI SUHANDI;6005865;S2 - Pendidikan Fisika;3262;1800;0;0;13;21;2;20;61;0;1;1;1;132;556;90;334;2013;204;3;7;1
DINIE ANGGRAENI DEWI;6684318;S1 - PGSD Kampus Cibiru;1954;1712;0;0;0;10;0;0;14;0;0;1;1;0;0;0;373;878;194;1;0;0
YULIA RAHMAWATI;5999482;S3 - Pendidikan Teknologi dan Kejuruan;1402;941;0;0;9;4;;7;4;;1;3;;2;1;1;43;90;15;0;0;0
